Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Cyprus,CYP,Urban population,SP.URB.TOTL,204125,208513,211864,214847,218033,221862,226504,231849,237758,243915,250117,256310,262549,271552,289090,307184,325889,345026,364358,383376,401745,419077,435532,442973,448296,455135,463744,473990,485669,498400,511916,526163,541196,555047,568519,581991,595336,608531,621603,634594,647548,660371,671118,681117,691221,701561,712252,723130,733725,743351,751584,758208,763443,767957,772396,777234,782634,788454,794546,800707,806771,
Czech Republic,CZE,Urban population,SP.URB.TOTL,5717803,5758030,5828213,5903373,5985712,6064767,6137954,6205159,6267134,6326884,6348795,6416419,6560396,6712314,6871460,7032685,7191239,7343835,7491275,7633521,7745353,7774989,7782743,7786562,7788361,7790569,7791420,7792255,7795245,7796600,7772750,7747721,7742438,7737165,7726630,7708571,7686196,7664419,7643675,7622397,7587516,7547721,7526242,7517054,7512306,7515659,7528974,7565828,7621676,7657912,7673029,7681562,7693579,7705910,7723921,7748928,7773650,7805452,7844036,7888753,7923709,
Germany,DEU,Urban population,SP.URB.TOTL,51978188,52609561,53122383,53664331,54147106,54659677,55166778,55468832,55765529,56259360,56496072,56645245,56961784,57186457,57253758,57085531,56885943,56801863,56796181,56865826,57028530,57229147,57267174,57114118,56792461,56485448,56438249,56695484,57044790,57469536,58079842,58625381,59146205,59647492,60028206,60378049,60725922,60986289,61167004,61376500,61629857,61902439,62174878,62376854,62529997,62660267,62753557,62833410,62875807,62877220,62940432,61940177,62064608,62242278,62510392,63062064,63592936,63861626,64096118,64294010,64472284,
Djibouti,DJI,Urban population,SP.URB.TOTL,42089,45533,49569,54119,59118,64512,70359,76746,83631,90929,98634,106498,114654,123946,135622,150517,169441,191950,216126,239091,258796,273807,284875,293397,303356,318887,341378,369425,399644,427137,448445,461892,468428,471343,474577,480984,491407,504849,520141,535374,549176,561331,572341,582415,591940,601229,610273,619017,627773,636958,646941,657873,669663,682099,694826,707590,720326,733075,745822,758547,771254,
Dominica,DMA,Urban population,SP.URB.TOTL,22715,23140,23539,23937,24362,24834,25358,25934,26496,26996,27497,28248,28882,29457,30064,30761,31596,32533,33511,34433,35218,35995,37149,38178,39131,40052,40923,41753,42583,43459,44421,45380,45551,45788,45997,46098,46048,45888,45684,45513,45457,45552,45877,46263,46666,47007,47312,47578,47811,48034,48263,48496,48735,48990,49252,49523,49829,50151,50484,50830,51178,
Denmark,DNK,Urban population,SP.URB.TOTL,3374572,3431879,3490118,3548824,3608088,3666724,3723679,3779458,3828566,3875429,3930043,3982363,4029765,4078304,4121150,4156474,4189964,4217587,4245152,4269868,4289152,4297767,4300240,4302863,4306181,4313449,4324701,4335668,4343212,4351259,4361727,4374504,4390390,4406442,4422754,4447268,4473929,4493986,4511769,4528106,4544013,4563004,4582981,4601394,4624434,4652908,4681382,4712839,4751268,4785983,4815111,4844002,4872608,4901386,4932961,4974525,5020143,5059173,5091100,5116342,5138400,
Dominican Republic,DOM,Urban population,SP.URB.TOTL,994559,1059762,1129331,1202468,1279150,1359235,1442846,1529917,1620571,1714572,1812218,1913394,2018076,2126059,2237631,2352589,2471064,2592786,2717781,2845826,2976835,3110468,3218951,3305843,3393570,3482151,3571598,3661890,3753202,3845683,3939542,4034861,4131408,4228814,4360657,4503725,4647676,4792113,4937446,5083816,5231292,5379713,5529103,5717747,5923402,6128825,6334156,6539067,6743610,6947156,7150440,7342937,7527833,7711913,7895297,8077901,8259547,8439610,8615853,8787474,8953860,
Algeria,DZA,Urban population,SP.URB.TOTL,3373754,3604615,3859410,4129215,4417036,4724528,5011380,5177789,5351888,5531039,5713672,5899079,6088563,6283461,6485930,6697888,6919236,7196329,7565661,7956084,8369495,8805953,9265778,9746745,10246075,10759945,11287826,11821051,12346642,12878974,13416508,13958191,14502591,15044499,15579366,16103499,16615714,17115300,17606298,18103945,18600199,19094843,19591211,20095409,20615999,21159466,21729736,22327435,22955887,23612220,24299170,25016299,25763114,26536380,27332603,28146508,28977623,29821728,30670076,31510100,32332690,
East Asia & Pacific (excluding high income),EAP,Urban population,SP.URB.TOTL,151403783,155563091,161906882,170445401,179215959,183009298,187745539,192706079,197999404,203726197,209698515,215848808,221938430,228927767,236661347,241938861,248316836,254516936,263881526,276755094,290292289,304631513,319949747,334235010,348821128,364029574,380098873,397066046,414672281,432675867,451101776,470615054,490463885,510636603,531353175,552511493,574164033,596252014,618665112,641213727,664171005,689239829,715843332,742771343,770083689,797778677,825166515,852428506,880053774,907960157,936189731,963971536,992522163,1021260078,1050025167,1078616333,1107311607,1136333470,1164022906,1190440960,1215389970,
Early-demographic dividend,EAR,Urban population,SP.URB.TOTL,224482237,232778278,241768525,251133513,260912065,271080127,281653712,292674329,304067849,315910449,328216223,341203533,355392657,370176721,385480687,399335140,415511152,432189002,449564751,467717936,487012819,507355432,527403190,548233920,569751646,591844647,614373809,637129686,660251751,683747506,708897418,732133358,755214824,778394476,801863061,825612239,849635674,873910956,898393323,923000035,947945201,972865741,998910383,1025147788,1051736417,1078801871,1106351773,1134354147,1162927072,1191923070,1221297922,1250743601,1280321223,1310270387,1340608331,1371521458,1402685624,1434129497,1466014129,1498425040,1531409233,
East Asia & Pacific,EAS,Urban population,SP.URB.TOTL,235429991,242005233,250928808,262069864,273480292,279979176,287302253,294969156,303235819,312112688,321305582,331494507,340867218,351176556,362344117,370950495,380071938,388811932,400710067,416259017,432389450,449472419,467508588,484397131,501464836,519061525,537634255,557231673,577375455,597895560,618727706,640428468,662072463,683993182,706500380,729410002,752839238,776355955,800178867,823921886,848148000,876209795,906126744,936055669,966147698,996426796,1026344222,1055909249,1086071137,1116140554,1146373658,1175208431,1204635829,1234156243,1263762181,1293210148,1322708144,1352403771,1380787292,1407811694,1432986198,
Europe & Central Asia (excluding high income),ECA,Urban population,SP.URB.TOTL,123068702,127074711,131148940,135293587,139493484,143765277,147708431,151693240,155687572,159689807,163707596,167646669,171553509,175480975,179440427,183363395,187345277,191304119,195287499,199043089,202572000,206544083,210618881,214720366,219044802,223347800,227494280,231593046,235636530,238991065,241187054,243045912,244451925,245554147,246294992,246785077,247274883,247756573,248268193,248682659,249124933,249411269,249775373,250572422,251527548,252535779,253634708,254864409,256400495,258231706,260267578,262368267,264457002,266722011,269015557,271385984,273729521,275982417,278086139,280118386,281881905,
Europe & Central Asia,ECS,Urban population,SP.URB.TOTL,369955077,377810730,385873432,394232518,402627532,411031929,418941744,426719332,434277489,441602309,448575050,455486309,462704386,469780695,476707046,483319555,489723646,496063786,502435540,508566509,514462719,520516803,526030896,531300940,536648561,541995028,547418322,553085423,558785968,563731116,567671068,571377236,574626258,577536090,579889799,581826945,583679990,585470793,587253046,589076288,590882531,592968758,595789100,599185026,602821368,606525226,610258935,614329197,618715906,622979518,627123956,630254951,634368772,638937915,643586548,648297897,652989492,657383765,661623321,665476579,669275971,
Ecuador,ECU,Urban population,SP.URB.TOTL,1539300,1611002,1686103,1762138,1840000,1921394,2006534,2095346,2187985,2284101,2383929,2487286,2594382,2704940,2820432,2963008,3110590,3262937,3420477,3583321,3751798,3925690,4105299,4282801,4460466,4643203,4831440,5024855,5223721,5427384,5636220,5834112,6025252,6219532,6417028,6617214,6820256,7025664,7232582,7439883,7646590,7851984,8033023,8197752,8363683,8532064,8703740,8878732,9055766,9233269,9410467,9580934,9746825,9915342,10091288,10278098,10477466,10687236,10903409,11116708,11320846,
Egypt Arab Rep.,EGY,Urban population,SP.URB.TOTL,10084278,10473607,10858079,11253199,11659626,12077650,12508159,12950508,13401985,13857715,14315310,14773795,15235327,15704279,16186598,16688305,17210387,17668393,18089501,18530886,18994489,19480106,19987197,20516520,21068787,21643299,22241761,22812396,23358965,23893891,24406148,24890672,25351103,25795988,26238204,26687689,27145813,27681744,28270159,28862915,29457843,30055505,30659221,31267887,31879899,32495529,33111796,33700834,34289704,34919602,35603060,36347578,37114895,37919407,38737024,39551545,40359122,41185808,42030815,42895825,43781728,
Euro area,EMU,Urban population,SP.URB.TOTL,164665932,167440671,170318137,173439830,176562527,179694853,182738469,185581862,188236267,190705184,192924102,195114364,197403272,199574718,201599081,203392782,204966417,206512121,208082017,209667683,211297233,212831291,213887998,214652137,215221606,215791209,216603491,217721462,218940390,220211015,221681292,223220673,224726425,226165007,227399934,228549331,229700811,230802301,231837256,233000242,234371051,235934885,237878108,239986936,242114384,244169605,246100101,248142076,250114872,251691336,253060544,253272107,254552163,256110530,257664867,259162923,260648893,261954003,263300319,264348445,265655307,
Eritrea,ERI,Urban population,SP.URB.TOTL,98733,104510,110694,117292,124283,131651,139437,147657,153565,159732,166202,172991,180106,187550,195310,203400,211825,220551,229688,239304,249440,260046,271024,282449,295487,315761,337616,360853,384492,406938,426998,443979,458156,470448,482621,496260,511623,528778,549470,575798,609484,651980,703157,760628,820403,879061,935315,989368,1041346,1079024,1115201,1149669,,,,,,,,,,
Spain,ESP,Urban population,SP.URB.TOTL,17227480,17614512,18089104,18560792,19059712,19580951,20096611,20660198,21248036,21772801,22330440,22878387,23372204,23870859,24372582,24876771,25379947,25880544,26368356,26838008,27289444,27669147,27925417,28151118,28357570,28549379,28723937,28887112,29036437,29169746,29286916,29430524,29607126,29793326,29967941,30133075,30291556,30451227,30610090,30767125,30937864,31186430,31708814,32390830,33059302,33727737,34408810,35159317,35833174,36260460,36535850,36773882,36904876,36891840,36890017,36971015,37112875,37311863,37588424,37973121,38264801,
Estonia,EST,Urban population,SP.URB.TOTL,697034,714269,733452,753250,773863,794190,812599,828812,846346,865089,883329,901671,919299,935590,951152,966085,980438,995091,1009340,1020447,1029784,1040236,1050928,1061357,1071506,1081872,1093150,1104917,1115040,1119881,1117738,1109251,1086348,1055960,1030882,1009954,992487,978597,966608,966817,969061,961159,953352,945646,938279,931205,924006,918084,913914,910446,906655,902194,899089,897846,897427,899949,902145,905267,910578,916236,921477,
Ethiopia,ETH,Urban population,SP.URB.TOTL,1424992,1507634,1596238,1690640,1791228,1897784,2010258,2128691,2225606,2328912,2440287,2561012,2690971,2824958,2956415,3080824,3194879,3300643,3406129,3522585,3658251,3817959,4000296,4203323,4422527,4655890,4901174,5160079,5434867,5728512,6043927,6383316,6744718,7125616,7519514,7888014,8247227,8610539,8981735,9363838,9761537,10174157,10604081,11049316,11510093,11986371,12478999,13001477,13689471,14413056,15178365,15986316,16839220,17717911,18635948,19590312,20581864,21609825,22678264,23788710,24941349,
European Union,EUU,Urban population,SP.URB.TOTL,209424082,213181707,217026100,221155219,225329955,229461361,233459533,237286949,240893038,244278893,247339287,250392496,253675308,256859012,259945566,262841889,265497896,268106830,270694082,273200950,275684801,277931180,279652313,281059601,282265172,283455424,284869973,286582422,288368788,289995473,291681148,293352144,294873463,296384280,297720266,298883110,299966897,300993286,301959292,303042739,304075051,305278438,306961949,309016307,311124846,313183120,315148345,317172249,319152658,320826834,322196474,322486012,323794326,325389418,326995182,328554220,330129009,331549958,333026382,334222735,335656323,
Fragile and conflict affected situations,FCS,Urban population,SP.URB.TOTL,37286205,39045846,40882589,42824649,44861701,47028163,49276104,51629911,54066341,56610445,59282409,62180015,65145228,68188331,71204714,74351011,77646709,81052556,84550481,88079295,91684087,95577434,99556527,103769542,108287367,112994781,117859996,122890848,128031571,133301414,140188093,145703755,151550887,157500546,163301861,169102782,174873457,180680117,186550212,192662816,199097144,206315205,213804054,221574472,229542564,237732381,246130504,254361660,263565897,273106201,283018286,293072488,303395882,314018410,324831489,336059484,347311455,358661286,370355328,382674667,395821391,
Finland,FIN,Urban population,SP.URB.TOTL,2449145,2512483,2567399,2623429,2675999,2722631,2770510,2823091,2873315,2908731,2934402,2975881,3032758,3088806,3143576,3195817,3243412,3289888,3336370,3381500,3428217,3481318,3541666,3603091,3662085,3716264,3765683,3812087,3858255,3906513,3957581,4003120,4040047,4073879,4105674,4135420,4162332,4187218,4210769,4232899,4253964,4273258,4290649,4307931,4327463,4349276,4372951,4398523,4426008,4454167,4492880,4543014,4593267,4629925,4651843,4669930,4686120,4699884,4709266,4717991,4729705,
Fiji,FJI,Urban population,SP.URB.TOTL,116789,123183,129972,137012,144132,151167,158069,163978,169576,175192,180937,186849,192916,199104,205382,211743,218097,223279,228330,233834,239951,246865,254415,262004,268787,274195,277935,283853,289784,295964,303167,311669,321283,331677,342326,352789,363031,370461,377054,383114,388539,393125,396965,400572,404671,409743,416120,423586,432366,440971,448575,454892,460180,464880,469753,475368,481873,489114,496945,505049,513187,
France,FRA,Urban population,SP.URB.TOTL,28849501,29575876,30414329,31433929,32441971,33413444,34337825,35216563,35944653,36427404,36918577,37424022,37937158,38445788,38934759,39330005,39578997,39798466,40001631,40205365,40423458,40659218,40911632,41177475,41450444,41726189,42005649,42289350,42572025,42846777,43127042,43467989,43785893,44077092,44342929,44604031,44863819,45123543,45390690,45743981,46214923,46709572,47206862,47699496,48209409,48730237,49228312,49690036,50127509,50547195,50961405,51373808,51791148,52228059,52647802,53009026,53323902,53654868,53979477,54275936,54570334,
Faroe Islands,FRO,Urban population,SP.URB.TOTL,7404,7766,8156,8561,8982,9414,9816,10076,10342,10613,10903,11212,11531,11861,12190,12522,12857,13191,13338,13428,13516,13599,13679,13760,13850,13946,14056,14179,14291,14351,14464,14681,14899,15084,15281,15545,15887,16188,16434,16649,16983,17472,17960,18366,18682,18988,19187,19293,19385,19475,19564,19646,19723,19813,19906,20009,20125,20255,20400,20554,20718,
Micronesia Fed. Sts.,FSM,Urban population,SP.URB.TOTL,9931,10361,10799,11257,11755,12292,12891,13536,14185,14766,15236,15564,15774,15936,16077,16322,16718,17241,17873,18564,19288,19924,20557,21192,21810,22394,22928,23410,23870,24347,24864,25438,26042,26619,27095,26957,26507,25913,25227,24516,23984,23931,23899,23871,23809,23700,23524,23308,23103,22968,22948,23074,23330,23679,24066,24451,24827,25199,25573,25963,26378,
Gabon,GAB,Urban population,SP.URB.TOTL,87150,92712,100181,108292,117145,126806,137393,148946,161429,174662,188581,204699,221627,239386,258218,278254,299580,322125,345935,370958,397175,424476,445922,468317,491733,516131,541577,568016,596693,626204,656508,687558,719336,751721,781531,811511,841987,873005,904527,936488,968917,1001790,1035389,1070252,1107101,1146536,1188550,1233155,1281023,1332880,1389181,1450331,1515815,1583686,1651170,1716265,1778160,1837187,1893996,1949693,2005203,
United Kingdom,GBR,Urban population,SP.URB.TOTL,41104656,41381472,41661202,41900114,42098400,42294196,42452048,42603817,42733856,42833742,42925829,43056861,43295638,43470962,43590038,43677888,43757644,43833733,43925435,44054299,44195960,44271630,44228171,44215089,44257473,44329755,44404206,44470325,44540723,44628280,44733264,44855736,45011752,45154426,45304828,45459651,45610451,45762480,45931122,46119137,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705,49913475,50463084,51030310,51600211,52130345,52650595,53209683,53802927,54382825,54923317,55426598,55909924,56395647,
Georgia,GEO,Urban population,SP.URB.TOTL,1570123,1613251,1656450,1699844,1743144,1785661,1825872,1863779,1900892,1939040,1977799,2017973,2058158,2096177,2134443,2170431,2206460,2241969,2275678,2310615,2345408,2379998,2415679,2452585,2489286,2527012,2565458,2602758,2644850,2655120,2642925,2650025,2658933,2667710,2615350,2507764,2407551,2321114,2254204,2198282,2146120,2103451,2086373,2087702,2090052,2091919,2095077,2099115,2107603,2103652,2102941,2100564,2099468,2107360,2122558,2140097,2155877,2170854,2184950,2196346,2208084,
Ghana,GHA,Urban population,SP.URB.TOTL,1542823,1629688,1722165,1818826,1917837,2017446,2116864,2216514,2318446,2425905,2529624,2617855,2712776,2811041,2908058,3000677,3087287,3169782,3252694,3342949,3445416,3562000,3691512,3831726,3995739,4205299,4422201,4647395,4882024,5126894,5383529,5652576,5933400,6224295,6523645,6829443,7141466,7459805,7786740,8123933,8469006,8811788,9166547,9534974,9919287,10320074,10739262,11176323,11628987,12092964,12566486,13047761,13537133,14034998,14543045,15062520,15593581,16135330,16687441,17249055,17820023,
Gibraltar,GIB,Urban population,SP.URB.TOTL,23420,23808,24307,24889,25478,26079,26631,27172,27693,28165,28601,29007,29353,29657,29886,30062,30179,30228,30224,30172,30068,29902,29698,29481,29284,29151,29096,29114,29164,29187,29149,29021,28844,28680,28605,28688,28970,29404,29945,30526,31081,31604,32097,32556,32930,33222,33420,33524,33570,33562,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691,
Guinea,GIN,Urban population,SP.URB.TOTL,365909,388454,412353,437732,464710,493386,523910,556318,590560,626414,663781,702759,743423,785762,830081,876467,925115,976092,1030148,1088017,1150489,1217700,1290287,1354556,1403285,1456359,1514201,1576684,1642730,1710921,1780291,1850171,1920852,1992593,2066412,2142724,2221968,2302606,2383622,2464349,2543832,2621416,2697745,2774557,2854180,2938479,3028542,3124050,3224126,3327236,3432518,3539413,3648854,3762925,3884552,4017353,4162449,4319326,4486525,4661505,4842717,
Gambia The,GMB,Urban population,SP.URB.TOTL,44277,45925,47619,49858,54163,58896,64121,69876,76196,83071,90540,98633,107417,116409,123879,131897,140529,149806,159706,170136,181069,192382,204200,217117,232271,249555,269376,291635,315792,340853,366108,391212,416333,441170,464737,489374,515203,542096,570243,599747,630760,663374,697680,733010,767537,803056,839503,877006,915780,956056,998130,1042056,1087862,1135416,1184628,1235413,1287718,1341601,1397012,1453952,1512397,
Guinea-Bissau,GNB,Urban population,SP.URB.TOTL,83795,85610,87382,89187,91119,93239,95574,98098,100806,103667,106671,109859,113210,116538,119583,122175,124175,125692,127071,129922,139170,149894,162186,175955,190907,206738,223436,241086,259769,279573,300674,323097,339482,350955,362579,374249,385926,397668,409664,422179,435389,449390,464198,479786,496132,513185,530989,549571,569008,589354,610731,633138,656566,680896,705998,731764,758123,785097,812698,840920,869776,
Equatorial Guinea,GNQ,Urban population,SP.URB.TOTL,65206,67657,68791,70020,71478,73224,75390,77854,80163,81664,81936,80825,78561,75597,72604,70117,68196,66822,66360,67219,69661,73931,79864,86764,96243,105424,113921,121852,129472,137255,145647,154733,164443,174840,186039,201161,217619,235468,254764,275466,297586,321086,346134,372910,401728,432777,466233,502050,540133,580245,622236,666013,711522,748580,786523,825201,864455,904178,944327,984809,1025582,
Greece,GRC,Urban population,SP.URB.TOTL,4660434,4740951,4844217,4937007,5029578,5127549,5239942,5357301,5466737,5560616,5646740,5735846,5817963,5888911,5955084,6055755,6195478,6321574,6449432,6575885,6686402,6785832,6846785,6905833,6959420,7005470,7047717,7090422,7135291,7191693,7287341,7392680,7462054,7518737,7569094,7617319,7663691,7714274,7770011,7812670,7857551,7919906,7991509,8052786,8114802,8180275,8246206,8308341,8371303,8433780,8484693,8511794,8505100,8482139,8463623,8445266,8446960,8466513,8485202,8511650,8541900,
Grenada,GRD,Urban population,SP.URB.TOTL,27277,27871,28398,28859,29258,29596,29872,30077,30233,30349,30433,30413,30405,30366,30278,30117,29847,29503,29200,29098,29302,29881,30760,31761,32622,33161,33288,33086,32702,32353,32200,32318,32786,33385,34003,34569,35062,35507,35916,36311,36711,37083,37219,37344,37461,37567,37661,37743,37835,37947,38098,38292,38542,38829,39136,39454,39774,40096,40425,40764,41111,
Greenland,GRL,Urban population,SP.URB.TOTL,19024,20155,21492,22926,24265,25892,27334,28849,30461,32095,33753,34660,35585,36218,36705,36897,37089,37033,37075,37567,38213,39013,39588,40240,40896,41475,41900,42559,43301,43886,44312,44418,44406,44438,44790,45143,45335,45487,45638,45708,45859,46122,46473,46739,46997,47175,47220,47213,47196,47360,48018,48217,48402,48322,48308,48298,48503,48630,48637,48945,49198,
Guatemala,GTM,Urban population,SP.URB.TOTL,1284949,1350747,1419719,1491664,1563113,1622969,1684303,1746816,1810234,1874378,1939050,2004473,2070684,2137989,2206442,2276190,2347670,2421551,2498844,2580838,2668218,2761086,2859308,2962273,3069556,3180971,3296596,3416470,3540636,3668666,3800324,3934691,4071017,4208693,4348255,4490594,4635095,4781726,4933129,5089420,5253870,5421506,5588466,5750534,5911891,6074432,6238013,6402661,6568347,6734651,6902116,7072123,7243152,7418337,7597137,7779195,7964335,8153103,8345772,8540945,8738685,
Guam,GUM,Urban population,SP.URB.TOTL,33465,34870,36413,38065,39792,41565,43375,45228,47115,49047,51935,57570,63057,68321,73333,78071,82536,86738,90698,94441,97629,99551,101516,103535,105569,107645,109717,111797,113895,116050,118471,121615,124828,128028,131119,133994,136641,139050,141208,143095,144651,145812,146696,147368,147872,148317,148697,149034,149361,149691,150031,150409,150834,151374,152070,153004,154177,155572,157117,158694,160239,
Guyana,GUY,Urban population,SP.URB.TOTL,165877,171178,176363,181351,186050,190403,194365,197953,201239,204333,207426,210772,213993,217148,220306,223508,226803,230145,233310,236021,237853,237616,236758,235361,233526,231386,228898,226122,223413,221236,219892,219569,220117,221076,221795,221819,220997,219502,217623,215772,214263,213174,212399,210927,209284,207596,205854,204109,202424,200904,199603,198536,199422,200450,201637,202917,204272,205727,207263,208915,210688,
High income,HIC,Urban population,SP.URB.TOTL,482762838,492711914,502937637,513354341,523808271,534110985,544029853,553831804,563517213,573134951,582649858,592932810,602139215,611154215,620101208,628811834,636654672,644408725,652284181,660449345,668523952,676860217,684559218,691785498,698662478,705550137,712890102,720579253,728290475,736059726,744336759,753395014,760221547,768793067,777016060,786520995,794391098,802038269,809570818,817077195,824514889,833539952,843358003,852892629,862667846,872515168,882656103,893016372,903802052,913710067,922891657,929636145,937127730,944633747,952302212,959912988,967555415,974615279,981386603,987633802,993239319,
Hong Kong SAR China,HKG,Urban population,SP.URB.TOTL,2620415,2702168,2828656,2937424,3019108,3109377,3146833,3237272,3316715,3379985,3473191,3561442,3648314,3770528,3909419,4001832,4069679,4145727,4238137,4493175,4631623,4758050,4848078,4937590,5001316,5069901,5206825,5405272,5532437,5634683,5676947,5742337,5799282,5901000,6035400,6156100,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7507400,7481800,
Honduras,HND,Urban population,SP.URB.TOTL,463729,488840,515200,542895,572154,603017,635697,670214,706657,744940,785167,827378,871721,918305,965834,1012509,1061596,1113138,1167179,1223686,1282614,1344022,1407988,1474541,1543740,1615498,1689971,1767241,1846535,1924386,2004915,2088027,2173814,2262580,2355038,2451506,2552137,2656724,2764783,2875642,2988641,3103449,3229731,3358946,3490501,3623946,3759509,3896842,4035650,4175237,4315518,4455998,4597021,4738709,4882044,5027133,5174308,5323340,5474092,5626432,5780230,
Heavily indebted poor countries (HIPC),HPC,Urban population,SP.URB.TOTL,19995239,21042599,22156155,23347566,24634740,26004025,27422310,28929220,30529258,32231114,33975532,35813359,37736074,39750752,41839374,44049037,46396474,48846184,51412169,53856614,56373301,58967135,61653790,64526708,67631551,71001134,74504362,78140629,81941720,85824159,89970108,94244414,98703560,103240022,107635415,112050834,116486921,121042387,125661738,130458796,135492774,140946368,146706543,152774499,159039279,165590384,172378816,179015728,186577845,194454097,202688363,211290529,220121424,229294870,238840219,248770232,259093102,269819313,280949951,292473355,304383118,
Croatia,HRV,Urban population,SP.URB.TOTL,1248430,1293527,1342990,1393585,1444787,1497338,1551723,1606614,1662257,1718390,1773549,1824267,1862071,1900310,1939336,1979180,2020532,2062157,2103222,2141029,2175007,2208313,2235415,2263306,2290391,2317187,2343584,2369256,2393676,2416381,2438225,2408141,2360573,2383868,2421285,2415305,2392886,2391671,2400581,2400611,2387324,2306414,2315000,2322932,2330812,2341055,2348849,2355577,2362537,2367290,2369143,2368126,2368751,2370674,2370234,2360534,2354458,2337248,2327904,2327032,2329285,
Haiti,HTI,Urban population,SP.URB.TOTL,602851,629727,657737,686866,717216,748685,781482,815542,850821,887037,924118,961996,983091,1000940,1019606,1039496,1060703,1083227,1107068,1132356,1159165,1187466,1217210,1292625,1381229,1474114,1571369,1673019,1779372,1890330,2006510,2127812,2254403,2341909,2431753,2523935,2618588,2713741,2811191,2911009,3013114,3206868,3408428,3617449,3770733,3920687,4074700,4232451,4394109,4558835,4726821,4897847,5071849,5248179,5426831,5607351,5788114,5968477,6148673,6328949,6509478,
Hungary,HUN,Urban population,SP.URB.TOTL,5582136,5650018,5710839,5768389,5829329,5888035,5948507,6013391,6079237,6147411,6214324,6276403,6339439,6404030,6476897,6559474,6640071,6715287,6782725,6839204,6875576,6895431,6910744,6919717,6925194,6931780,6938994,6946357,6954686,6898019,6830026,6816672,6800940,6780138,6757831,6735415,6710863,6684288,6655715,6623887,6593735,6588305,6611324,6633742,6660205,6694281,6737243,6779707,6820246,6861506,6891116,6916190,6912310,6920508,6928924,6939335,6946267,6955524,6974963,7000436,7014174,
IBRD only,IBD,Urban population,SP.URB.TOTL,499178724,515656795,535027783,557018766,579627393,597449578,616075069,635116592,654687670,674877145,695572117,717120488,739646866,763459609,788535071,813742736,838760462,863972277,892821011,925477109,958976572,993960763,1029994762,1065395228,1101646036,1138776412,1176896709,1215937509,1255592890,1294975459,1333641154,1373038432,1412218061,1451653360,1491444476,1531254276,1571454056,1612249196,1653560142,1695005247,1736652375,1780343824,1826492099,1873440721,1921068181,1969371870,2017529904,2065752116,2114790803,2164612441,2214990614,2265715904,2317809982,2370556736,2423507360,2476317766,2529215923,2582417026,2634177755,2684649049,2733493153,
IDA & IBRD total,IBT,Urban population,SP.URB.TOTL,550834292,569726030,591613336,616296231,641774192,662629336,684428536,706895122,730082006,754072950,778696661,804491433,831448009,859913828,889888922,918336378,948835997,979831889,1014813225,1053681860,1093812613,1135580931,1177975100,1220114406,1263564332,1308318650,1354377388,1401677724,1449917278,1498137572,1546154684,1594676766,1643184466,1692107881,1741343508,1790824259,1840957194,1891986965,1943702794,1995720663,2048327401,2103981988,2162645893,2222524645,2283509412,2345717741,2408310869,2471128348,2535933894,2601985186,2669164462,2736675863,2805580458,2875634330,2946542595,3018348768,3090962746,3164592663,3237588649,3310137127,3381898060,
IDA total,IDA,Urban population,SP.URB.TOTL,51655568,54069235,56585553,59277465,62146799,65179758,68353467,71778530,75394336,79195805,83124544,87370945,91801143,96454219,101353851,104593642,110075535,115859612,121992214,128204751,134836041,141620168,147980338,154719178,161918296,169542238,177480679,185740215,194324388,203162113,212513530,221638334,230966405,240454521,249899032,259569983,269503138,279737769,290142652,300715416,311675026,323638164,336153794,349083924,362441231,376345871,390780965,405376232,421143091,437372745,454173848,470959959,487770476,505077594,523035235,542031002,561746823,582175637,603410894,625488078,648404907,
IDA blend,IDB,Urban population,SP.URB.TOTL,22287057,23213360,24121322,25090990,26111754,27182286,28308466,29498405,30745725,32046646,33421560,34987809,36595850,38316477,40154120,42110806,44187926,46344197,48626074,50990176,53343713,55934195,58577243,61339961,64222629,67217109,70332690,73566451,76890260,80359790,84066672,87444782,90920097,94447032,98053947,101775568,105651122,109655428,113727469,117787593,121970470,126587382,131319765,136125024,141097536,146271344,151670594,157314706,163199212,169295157,175757645,182311097,188787619,195460748,202346504,209437703,216720489,224185927,231886966,239831544,248003523,
Indonesia,IDN,Urban population,SP.URB.TOTL,12799370,13353483,13931417,14536390,15169459,15831168,16524248,17248678,18001990,18785497,19596344,20438060,21515669,22703704,23946454,25243597,26596457,28001978,29468690,30996679,32591869,34436555,36463772,38577958,40774955,43042272,45381922,47793462,50281090,52840794,55483474,58355036,61396542,64522968,67741186,71046003,74433223,77897524,81452540,85098301,88840036,91738483,94698442,97720470,100811245,103961907,107178769,110459095,113814306,117243823,120709136,124016434,127396101,130825451,134286663,137751866,141211677,144655573,148088731,151509724,154926514,
