Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
American Samoa,ASM,Urban population,SP.URB.TOTL,13326,13731,14249,14868,15519,16178,16825,17453,18075,18683,19258,19807,20332,20831,21299,21739,22153,22546,22977,23522,24267,25287,26487,27830,29258,30732,32237,33782,35326,36836,38330,39864,41312,42684,44016,45333,46643,47921,49139,50278,51217,51764,52221,52532,52640,52470,52016,51305,50476,49702,49126,48787,48666,48668,48699,48684,48603,48481,48336,48203,48106,
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,21467,21474,21461,21443,21449,21490,21576,21690,21776,21764,21706,21815,21791,21677,21543,21444,21385,21369,21376,21396,21415,21440,21486,21536,21587,21638,21677,21712,21778,21916,22153,22472,22615,22831,23073,23322,23572,23822,24056,24262,24419,24507,24349,24161,23973,23802,23661,23530,23402,23263,23097,22940,23077,23198,23302,23393,23484,23582,23684,23799,23927,
Australia,AUS,Urban population,SP.URB.TOTL,8378309,8589875,8832932,9034955,9245383,9459784,9709943,9852991,10048170,10280809,10505755,10887779,11110846,11303156,11614598,11780153,11920613,12077392,12240482,12395391,12569300,12792439,13002993,13162165,13307374,13486012,13704062,13909213,14133874,14370091,14579227,14761055,14920611,15044687,15181749,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21488110,21845994,22152761,
Austria,AUT,Urban population,SP.URB.TOTL,4561167,4592914,4624644,4658034,4692726,4726878,4763809,4803163,4831802,4852163,4872871,4897890,4927193,4955326,4964528,4952131,4944146,4946802,4943554,4935890,4936650,4947212,4930765,4902840,4882418,4864664,4847469,4830238,4816676,4817928,4833974,4861464,4893935,4912877,4910076,4895821,4880469,4864091,4847335,4834637,4824004,4820068,4821291,4822095,4829142,4839033,4839801,4832038,4823638,4812679,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5153759,5196085,5238680,
Azerbaijan,AZE,Urban population,SP.URB.TOTL,2051433,2110439,2171812,2233682,2293591,2349758,2401558,2449255,2493164,2534088,2590430,2666673,2742016,2816717,2884268,2944703,3005278,3066069,3127435,3187542,3246173,3305699,3366407,3428564,3495125,3566416,3639921,3715244,3792004,3852576,3856598,3885855,3922231,3959053,3989328,4011953,4028686,4043596,4057628,4085971,4135854,4184325,4232008,4280744,4335079,4396406,4461940,4530068,4643726,4759039,4835557,4920166,5008847,5098727,5189181,5279540,5368846,5453517,5534464,5616706,5692217,
Burundi,BDI,Urban population,SP.URB.TOTL,58113,60329,62624,65010,67577,70985,75933,81363,87127,93063,98980,104841,110695,116662,123140,130456,138693,147934,158168,169261,180385,192121,204708,218131,232580,248041,264715,282525,301335,320918,341077,359216,377351,395601,413753,431726,449175,466384,484330,503627,526002,552126,582052,615468,651765,690455,731647,775530,822199,871341,923258,977810,1034996,1095417,1159265,1227129,1299254,1375680,1456375,1541177,1629988,
Belgium,BEL,Urban population,SP.URB.TOTL,8463316,8500111,8545539,8624158,8720520,8814176,8887919,8951328,9000174,9039007,9061057,9090451,9138742,9179915,9221059,9259701,9288043,9319769,9348049,9375266,9403844,9418778,9426273,9435379,9444896,9457075,9469618,9486775,9525797,9569207,9606261,9650427,9697796,9743821,9781788,9810102,9836805,9868070,9896510,9926274,9956937,9997106,10047703,10095562,10144977,10206487,10279407,10360589,10448114,10537701,10639649,10784163,10856360,10912673,10966157,11034732,11095615,11143219,11198627,11263911,11334006,
Benin,BEN,Urban population,SP.URB.TOTL,225532,243036,262053,282716,305169,329545,356057,384830,416030,449720,486098,525276,567564,613053,662185,715202,772493,834087,900435,965276,1016235,1070017,1126941,1187096,1250621,1317607,1388168,1462441,1541338,1625793,1716832,1815043,1910226,1995344,2082660,2170763,2259208,2348393,2439229,2533358,2631923,2735155,2847832,2973327,3103024,3236233,3372952,3513642,3658705,3808659,3964235,4125678,4293033,4466251,4646154,4832686,5026050,5226414,5433800,5648149,5869446,
Burkina Faso,BFA,Urban population,SP.URB.TOTL,226977,234744,242709,251039,259788,268990,278745,289111,299959,311347,323189,335447,348345,361760,375812,390630,418352,457588,500783,548277,600751,658561,722340,792525,869406,953160,1017666,1064071,1112727,1163681,1217244,1273347,1332276,1393992,1458744,1526700,1598127,1693156,1810936,1936788,2071323,2214527,2367405,2530419,2704757,2890682,3089299,3277397,3457080,3645825,3844032,4051999,4269915,4497998,4736621,4985853,5245964,5516712,5798635,6092351,6397866,
Bangladesh,BGD,Urban population,SP.URB.TOTL,2465493,2605370,2790353,2989609,3205156,3439969,3696385,3974776,4269774,4573116,4877173,5177654,5477299,5785039,6210172,6891722,7667522,8543816,9528585,10622254,11827262,12920085,13607077,14326358,15083860,15880101,16718786,17598710,18516964,19464439,20439396,21391215,22255442,23136115,24044693,24983814,25958280,26961629,27993765,29046504,30114490,31346175,32796273,34276155,35772636,37274029,38777274,40283012,41802030,43352797,44954428,46610536,48311264,50047694,51817405,53608407,55423124,57259998,59115518,60987421,62873466,
